Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Comment,Response
CHEMBL2021529,,C[C@@H]1CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)Cc2ccc(C(F)(F)F)n21,IC50,'=',14.0,nM,,Active
CHEMBL390513,,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)nc1,IC50,'=',25.4,nM,,Active
CHEMBL3357770,,N[C@@H](CC(=O)N1[C@H](COC(=O)C2CC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F,IC50,'=',80.0,nM,,Active
CHEMBL99247,,N[C@@H](CCNCc1ccc(OCc2ccccc2)cc1)C(=O)N1CCCCC1,IC50,'=',192000.0,nM,,Inactive
CHEMBL194250,,CCCC[C@@H](NC(=O)[C@@H](N)C(C)C)B(O)O,IC50,'=',17000.0,nM,,Inactive
CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,'=',18.0,nM,,Active
CHEMBL2105762,OMARIGLIPTIN,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,IC50,'=',1.6,nM,,Active
CHEMBL328197,,N[C@@H](CCNC1CCNCC1)C(=O)N1CCCCC1,IC50,'=',64000.0,nM,,Inactive
CHEMBL1082346,,CO[C@@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1,IC50,'=',27.0,nM,,Active
CHEMBL142703,VILDAGLIPTIN,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,'=',3.0,nM,,Active
CHEMBL22310,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,IC50,'=',48.0,nM,,Active
CHEMBL453573,,CC[C@@H](C)[C@H](N)C(=O)N1CCCC1,IC50,'=',3900.0,nM,,Inactive
CHEMBL237673,,N[C@@H](CO)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,IC50,'=',503000.0,nM,,Inactive
CHEMBL536312,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc(F)c(F)cc1F,IC50,'=',6.3,nM,,Active
CHEMBL232914,,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,IC50,'=',10.0,nM,,Active
CHEMBL397070,,CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1,IC50,'=',90000.0,nM,,Inactive
CHEMBL232185,,CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1nnc(C(C)(C)C)o1,IC50,'=',22.0,nM,,Active
CHEMBL463231,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1CC(F)(F)C[C@H]1C#N,IC50,'=',26.0,nM,,Active
CHEMBL392085,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3ccc(C)c(C)c3)CN1CC2,IC50,'=',3730.0,nM,,Inactive
CHEMBL234235,,CCCC[C@H]1CN(c2ccc(OC)c(-c3ccccc3)c2)CC[C@H]1N,IC50,'=',5800.0,nM,,Inactive
CHEMBL66189,,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,IC50,'=',30000.0,nM,,Inactive
CHEMBL206496,,NCc1ccccc1-c1ccccc1Cl,IC50,'=',2300.0,nM,,Inactive
CHEMBL249601,,CC(c1ccc(C#N)cc1)N1C[C@H](N)[C@H](C(=O)N2CCC[C@H]2C#N)C1,IC50,'=',5.5,nM,,Active
CHEMBL303131,,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,IC50,'=',17000.0,nM,,Inactive
CHEMBL540888,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,IC50,'=',0.46,nM,,Active
CHEMBL215824,,C[C@H](C[C@H](N)C(=O)N1CCCCC1)NCc1ccc(Cl)cc1,IC50,'>',250000.0,nM,,Inactive
CHEMBL289562,,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,IC50,'=',42000.0,nM,,Inactive
CHEMBL216854,,C[C@H](c1nc(-c2ccccc2)no1)[C@H](N)C(=O)N1CCCC1,IC50,'=',19700.0,nM,,Inactive
CHEMBL220021,,C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,IC50,'=',3820.0,nM,,Inactive
CHEMBL381626,,N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,IC50,'=',2.9,nM,,Active
CHEMBL195804,,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](NCc2ccccc2)CN1,IC50,'=',4.6,nM,,Active
CHEMBL230389,,C[C@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,IC50,'=',24.6,nM,,Active
CHEMBL390853,,CC1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,'=',6.6,nM,,Active
CHEMBL196461,,CCCC[C@@H](NC(=O)[C@@H](N)CN)B(O)O,IC50,'=',2000.0,nM,,Inactive
CHEMBL186649,,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)Cc1ccccc1,IC50,'=',1900.0,nM,,Inactive
CHEMBL1688516,,Cc1nc(CN)cc(-c2ccc(Cl)cc2)c1C(N)=O,IC50,'>',50000.0,nM,,Inactive
CHEMBL1688527,,COc1ccc(-c2cc(C(=O)N3CCCC3)c(CN)c(C)n2)cc1,IC50,'>',50000.0,nM,,Inactive
CHEMBL1688426,,CNC(=O)c1cc(-c2ccc(Cl)cc2Cl)c(CN)c(C)n1,IC50,'=',6.0,nM,,Active
CHEMBL2011537,,N[C@@H]1CCN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C1,IC50,'>',100000.0,nM,,Inactive
CHEMBL3112963,,CO[C@H]1CC[C@](CN)(c2ccccc2)CC1,IC50,'=',60000.0,nM,,Inactive
CHEMBL5267798,,CC(C)[C@H](Nc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)C[C@H](N)Cc2cc(F)ccc2F)cc1)C(=O)O,IC50,'=',0.3,nM,,Active
CHEMBL514006,,CC(C)(CC(=O)N1CCc2ccsc2C1)[C@H](N)C(=O)N1CCC[C@H]1C#N,IC50,'=',25.0,nM,,Active
CHEMBL457550,,CC[C@H](C)[C@H](N)C(=O)NC1CCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL460886,,CC[C@H](C)[C@H](N)C(=O)N1CCC(F)C1,IC50,'=',3500.0,nM,,Inactive
CHEMBL461289,,N=C(N)NCCC[C@H](N)C(=O)N1CCCC1,IC50,'=',12700.0,nM,,Inactive
CHEMBL443373,,NC(=O)C[C@H](N)C(=O)N1CCCC1,IC50,'=',188000.0,nM,,Inactive
CHEMBL22679,,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,IC50,'=',94.0,nM,,Active
CHEMBL1683137,,CCOC(=O)c1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1,IC50,'=',82.0,nM,,Active
CHEMBL3121246,,CCOC(=O)c1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2,IC50,'=',113760.0,nM,,Inactive
CHEMBL3220152,,COc1ccc2c(c1OC)C(O)N(C)c1c-2ccc2cc3c(cc12)OCO3,IC50,'=',32360.0,nM,,Inactive
CHEMBL185538,,N[C@@H](CC(=O)N1CCSC1)Cc1cccc(C(F)(F)F)c1,IC50,'=',3611.0,nM,,Inactive
CHEMBL175629,,S=C(CNCc1ccccc1)N1CCCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL191769,,C[C@@H](c1ccc(-c2ccccc2Cl)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,IC50,'=',86.0,nM,,Active
CHEMBL367368,,NC(CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1,IC50,'>',100000.0,nM,,Inactive
CHEMBL179423,,FC(CNCc1cccc(C(F)(F)F)c1)=C1CCCCC1,IC50,'>',125000.0,nM,,Inactive
CHEMBL364100,,CC(C)[C@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2ccccc2F)cc1)C(=O)O,IC50,'=',1.8,nM,,Active
CHEMBL365010,,CCC(Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2ccccc2F)cc1)C(=O)O,IC50,'=',7.1,nM,,Active
CHEMBL3650433,,Cn1c2nccc-2c(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,IC50,'=',5.7,nM,275448,Active
CHEMBL3680631,,CC#CCn1c(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)nc2c1c(=O)n(Cc1cc(C#N)c3ccccc3n1)c(=O)n2C,IC50,'=',2.0,nM,247268,Active
CHEMBL3233565,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cnn[nH]1,IC50,'>',100000.0,nM,,Inactive
CHEMBL3233575,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ncnn12,IC50,'>',100000.0,nM,,Inactive
CHEMBL3233841,,N#C[C@@H]1C[C@@H](F)CN1C(=O)CNC(=O)c1ccnc2ccccc12,IC50,'>',100000.0,nM,,Inactive
CHEMBL2011528,,N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)ccc1F,IC50,'=',1650.0,nM,,Inactive
CHEMBL399610,,O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cn3)CC2)CN1)N1CCSC1,IC50,'=',0.92,nM,,Active
CHEMBL3937692,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cnc2ccccc2c1,IC50,'>',100000.0,nM,406950,Inactive
CHEMBL2385302,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ccc(OC(F)(F)F)cc12,IC50,'>',100000.0,nM,406966,Inactive
CHEMBL3233558,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc(-c2ccccc2)c1,IC50,'>',100000.0,nM,406972,Inactive
CHEMBL3233568,,Cc1ncsc1C(=O)NCC(=O)N1CCC[C@H]1C#N,IC50,'>',100000.0,nM,406976,Inactive
CHEMBL3233837,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2cc(Nc3ccccc3)ccc12,IC50,'>',100000.0,nM,406984,Inactive
